"Twitter Query: emt OR emtvalencia OR grezzi OR giussepegrezzi OR transitvalencia near:39.4699075,-0.3762881000000107,15mi -filter:retweets",,,,,,,,,,,User Details,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
4/06/2018 12:27:07,@vruperez,Vicente Rupérez,Exitazo de grezzi!!! @CompromisVLC @AjuntamentVLC RT @lasprovincias: .@valenbisi_es pierde abonados por cuarto mes consecutivo y apenas supera los 44.000,1003583921416822784,"https://twitter.com/lasprovincias/status/1003536832502456320 http://www.lasprovincias.es/valencia-ciudad/valenbisi-pierde-abonados-20180604004059-ntvo.html",,,0,0,Twitter for iPhone,725,1171,18,,5/3/2010,Valencia,Fotografiando emociones que mañana seran irrepetibles!,http://www.facebook.com/vruperez,,View
4/06/2018 10:15:00,@vlcextra,València Extra,La fake news de les càmeres de l'EMT,1003550673881980928,http://valenciaextra.com/camaras-seguridad-autobuses-emt/,,,0,0,TweetDeck,1375,511,27,,3/10/2016,"Valencia, España",Diari digital valencià amb una clara aposta per la informació audiovisual i pròxima,http://www.valenciaextra.com,,View
4/06/2018 9:53:27,@ValenciaEscucha,#ValenciaEscucha,Otro éxito más de Grezzi... menos mal que está apostando por la bicicleta... RT @lasprovincias: .@valenbisi_es pierde abonados por cuarto mes consecutivo y apenas supera los 44.000,1003545251670315009,"https://twitter.com/lasprovincias/status/1003536832502456320 http://www.lasprovincias.es/valencia-ciudad/valenbisi-pierde-abonados-20180604004059-ntvo.html",,,17,9,Twitter for iPhone,1779,796,22,,11/11/2016,"Valencia, España","Si @joanribo no te escucha, nosotros sí. Recogemos todas las denuncias de #Valencia porque queremos una ciudad mejor para vivir. ¡Manda la tuya!",,,View
4/06/2018 9:32:09,@TransitValencia,Tráfico Valencia,"(09:30h) #trànsitVLC dens 🔶en avinguda del Cid en ambdós sentits, Corts Valencianes i Pista de Silla d'entrada, els accessos a Plaça d'Espanya per la G.V.Ferran el Catòlic i St Francesc de Borja, i Comte de Trénor.",1003539889382723584,,,,0,2,Twitter Web Client,11386,239,135,,11/19/2012,VALENCIA (ESPAÑA),"Notícies, esdeveniments i previsions sobre #mobilitat a la ciutat de #València",http://www.valencia.es/ayuntamiento/trafico.nsf/vPortadasTituloAux/Portada?opendocument&lang=1&nivel=1,,View
4/06/2018 9:18:38,@giuseppegrezzi,Giuseppe Grezzi,"@nandosaldi @metrovalencia @GVAhabitatge Respeto lo que dices sin embargo es evidente que no puedo actuar porque no tengo competencias. En la Emt sí, y se nota:",1003536487453949952,https://valenciaplaza.com/la-emt-de-valencia-registra-un-incremento-del-44-de-usuarios-en-las-lineas-nocturnas,,,0,3,Twitter for Android,9525,648,185,,5/31/2010,"Valencia, España","Ací no em pariren,peró ací estic. Italià de València. Portavoz @VerdsEquo_ en @CompromisVLC regidor de Mobilitat Sostenible de l'Ajunt.València",http://www.giuseppegrezzi.net,,View
4/06/2018 9:11:56,@TransitValencia,Tráfico Valencia,(09:11h) ⚠️ PRECAUCIÓ: accident al carril dret d'avinguda del Cid d'eixida #trànsitVLC,1003534805018009600,,,,0,1,Twitter Web Client,11386,239,135,,11/19/2012,VALENCIA (ESPAÑA),"Notícies, esdeveniments i previsions sobre #mobilitat a la ciutat de #València",http://www.valencia.es/ayuntamiento/trafico.nsf/vPortadasTituloAux/Portada?opendocument&lang=1&nivel=1,,View
4/06/2018 9:05:31,@TransitValencia,Tráfico Valencia,"(09:00h) #trànsitVLC dens 🔶en Pista de Silla i avinguda del Cid en ambdós sentits, l'eix Pius XII-G.V.Ferran el Catòlic-Pl. d'Espanya, Ausiàs March i Antonio Ferrandis d'eixida i Comte de Trénor.",1003533189632155653,,,,0,2,Twitter Web Client,11386,239,135,,11/19/2012,VALENCIA (ESPAÑA),"Notícies, esdeveniments i previsions sobre #mobilitat a la ciutat de #València",http://www.valencia.es/ayuntamiento/trafico.nsf/vPortadasTituloAux/Portada?opendocument&lang=1&nivel=1,,View
4/06/2018 8:34:11,@TransitValencia,Tráfico Valencia,"(08:30h) #trànsitVLC dens 🔶en Pista de Silla i avinguda del Cid en ambdós sentits, Ronda Nord i Ausiàs March d'eixida, pas inferior de Germanies en ambdós sentits i Pius XII➡️Gran Via Ferran el Catòlic.",1003525301022920705,,,,0,1,Twitter Web Client,11386,239,135,,11/19/2012,VALENCIA (ESPAÑA),"Notícies, esdeveniments i previsions sobre #mobilitat a la ciutat de #València",http://www.valencia.es/ayuntamiento/trafico.nsf/vPortadasTituloAux/Portada?opendocument&lang=1&nivel=1,,View
4/06/2018 8:16:00,@vlcextra,València Extra,La fake news de les càmeres de l'EMT @emtvalencia #FakeNews,1003520726215741441,http://valenciaextra.com/camaras-seguridad-autobuses-emt/,https://pbs.twimg.com/media/Dey74z-WsAEOsKN.jpg,,0,0,TweetDeck,1375,511,27,,3/10/2016,"Valencia, España",Diari digital valencià amb una clara aposta per la informació audiovisual i pròxima,http://www.valenciaextra.com,,View
4/06/2018 8:02:30,@TransitValencia,Tráfico Valencia,"(08:00h) Bon dia, a esta hora #trànsitVLC dens 🔶en Pista de Silla i avinguda del Cid en ambdós sentits, Ronda Nord d'eixida i els accessos a la ciutat per avinguda del Cid i Sant Vicent.",1003517331522408454,,,,3,4,Twitter Web Client,11386,239,135,,11/19/2012,VALENCIA (ESPAÑA),"Notícies, esdeveniments i previsions sobre #mobilitat a la ciutat de #València",http://www.valencia.es/ayuntamiento/trafico.nsf/vPortadasTituloAux/Portada?opendocument&lang=1&nivel=1,,View
4/06/2018 8:00:47,@sgalberto,Alberto Sancho,"Quan són les 8 del matí i ja has suat més que en tot el dia anterior. @emtvalencia, ací, l’aire condicionat no és un luxe.",1003516899685265409,,pic.twitter.com/9ae9n9Hz8D,,0,2,Twitter for iPhone,1753,1694,74,,8/13/2008,D'Alzira. A València,Gestió i comunicació cultural. I was born desficioset.,,,View
3/06/2018 19:58:54,@TransitValencia,Tráfico Valencia,👉Aquesta nit treballs de manteniment en els Passos Inferiors de Petxina i Petxina – Blanqueries,1003335230927835136,,https://pbs.twimg.com/media/DeyQAvEW0AA-lg5.jpg,,1,1,Twitter Web Client,11386,239,135,,11/19/2012,VALENCIA (ESPAÑA),"Notícies, esdeveniments i previsions sobre #mobilitat a la ciutat de #València",http://www.valencia.es/ayuntamiento/trafico.nsf/vPortadasTituloAux/Portada?opendocument&lang=1&nivel=1,,View
3/06/2018 19:51:24,@belmotilla,BELEN MOTILLA GINES,Os esperamos el 7 de Junio en la Cuestacion de @aeccvalencia @belenriosb @Roda_Alejandro @LunasAmseld @SirenasCiudad Muchas gracias a @hello_valencia @emtvalencia @chocolatesvalor @AjuntamentVLC @belmotilla,1003333341637160960,,https://pbs.twimg.com/media/DeyOWRbXcAA4PBs.jpg,,2,5,Twitter for Android,1832,4177,73,,2/12/2013,valencia,http://www.wonderencuentrosbm.com💻📷📺🎞️📻🔑🕉️🔝🎥📹 Marketing y Reputación on line: Comunidades Virtuales,http://www.wonderencuentrosbm.com,,View
3/06/2018 19:35:52,@crls8995,#ICARLMOLENKO✌ 💯%,@laracollgil Pues la verdad es que si.... la peor venganza de la emt.,1003329432524918784,,,,0,1,Twitter for Android,1579,1924,18,,1/8/2012,"Valencia, España","Dios solo hay uno y es el Gran Don Antonio BarraD19S B1919 VALENCIA TORREVIEJA CN10 Shevchenko, Vicente, Aimar, Cañizares y Villa dioses. AMUNT VALENCIA #19",,,View
3/06/2018 18:17:29,@TransitValencia,Tráfico Valencia,"👉A les 19.00h Cavalcada de les Roques i Processó General del Corpus amb el següent itinerari: Pl. de la Verge, C/Cavallers, C/Bolseria, C/ Maria Cristina, C/Sant Vicent, Pl. de la Reina, C/Mar, C/Avellanes, Pl. Almoina i Catedral. Previstos talls ⭕️ i restriccions al trànsit",1003309705446469632,,,,0,7,Twitter Web Client,11386,239,135,,11/19/2012,VALENCIA (ESPAÑA),"Notícies, esdeveniments i previsions sobre #mobilitat a la ciutat de #València",http://www.valencia.es/ayuntamiento/trafico.nsf/vPortadasTituloAux/Portada?opendocument&lang=1&nivel=1,,View
3/06/2018 17:16:59,@pacoguillem,Francesc Guillem,@valenbisi_es @emtvalencia @metrovalencia S'ha quedat un dia preciós per anar en bici,1003294484120133632,,https://pbs.twimg.com/media/Dexq8jMWsAE-pd9.jpg,,1,2,Twitter for Android,236,298,16,,6/21/2010,Massalfassar,Ciclista urbà del sud emigrat al nord. Enamorat de les paraules. M'agrada córrer i fer de viquipedista.,,,View
3/06/2018 16:21:58,@TransitValencia,Tráfico Valencia,"👉 C/ de la Pau des de Marquès de Dosaigües, C/ Sant Vicent entre Plaça de la Reina i Plaça de l'Ajuntament i C/ Maria Cristina, tancats al trànsit per actes del ""Corpus Christi"". Circule amb precaució",1003280637900611585,,https://pbs.twimg.com/media/DexeYidX4AAdDWE.jpg,,0,1,Twitter Web Client,11386,239,135,,11/19/2012,VALENCIA (ESPAÑA),"Notícies, esdeveniments i previsions sobre #mobilitat a la ciutat de #València",http://www.valencia.es/ayuntamiento/trafico.nsf/vPortadasTituloAux/Portada?opendocument&lang=1&nivel=1,,View
